n.title,avgrating
"Man Who Would Be King, The (1975)",4.025
"Wild Bunch, The (1969)",4.023255813953488
"Great Dictator, The (1940)",4.021739130434782
Gandhi (1982),4.02051282051282
To Catch a Thief (1955),4.02
It Happened One Night (1934),4.012345679012346
Sense and Sensibility (1995),4.0111940298507465
Hamlet (1996),4.011111111111111
Return of the Jedi (1983),4.007889546351085
Nikita (La Femme Nikita) (1990),4.0078740157480315
Terminator 2: Judgment Day (1991),4.0067796610169495
His Girl Friday (1940),4.0
For Whom the Bell Tolls (1943),4.0
Hard Eight (1996),4.0
Dial M for Murder (1954),4.0
Safe (1995),4.0
Duck Soup (1933),4.0
Priest (1994),4.0
Wings of Desire (1987),4.0
M (1931),4.0
Babe (1995),3.9954337899543377
Cool Hand Luke (1967),3.9939024390243905
Singin' in the Rain (1952),3.9927007299270074
Patton (1970),3.9926470588235294
Kolya (1996),3.9914529914529915
Reservoir Dogs (1992),3.9864864864864864
"Room with a View, A (1986)",3.985074626865672
Some Like It Hot (1959),3.984375
My Life as a Dog (Mitt liv som hund) (1985),3.978494623655914
Farewell My Concubine (1993),3.9782608695652173
Rebecca (1940),3.9696969696969697
2001: A Space Odyssey (1968),3.969111969111969
Local Hero (1983),3.9682539682539684
"Die xue shuang xiong (Killer, The) (1989)",3.967741935483871
"Postino, Il (1994)",3.9672131147540983
Beautiful Thing (1996),3.9655172413793105
Ulee's Gold (1997),3.96
Antonia's Line (1995),3.9565217391304346
Cat on a Hot Tin Roof (1958),3.9516129032258065
GoodFellas (1990),3.9513274336283186
Butch Cassidy and the Sundance Kid (1969),3.949074074074074
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.9479166666666665
Aliens (1986),3.9471830985915495
Belle de jour (1967),3.945945945945946
Young Frankenstein (1974),3.945
Thirty-Two Short Films About Glenn Gould (1993),3.9444444444444446
"Magnificent Seven, The (1954)",3.9421487603305785
Lost Horizon (1937),3.9411764705882355
"Remains of the Day, The (1993)",3.94
"Day the Earth Stood Still, The (1951)",3.9381443298969074
Brassed Off (1996),3.9375
"Apartment, The (1960)",3.9365079365079363
Shadowlands (1993),3.9358974358974357
Chasing Amy (1997),3.935483870967742
"Terminator, The (1984)",3.9335548172757475
Spellbound (1945),3.933333333333333
Apollo 13 (1995),3.931159420289855
Indiana Jones and the Last Crusade (1989),3.930513595166163
Enchanted April (1991),3.9285714285714284
"Full Monty, The (1997)",3.926984126984127
Charade (1963),3.925
Primary Colors (1998),3.923076923076923
Shine (1996),3.9224806201550386
Meet John Doe (1941),3.92
"Right Stuff, The (1983)",3.917197452229299
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",3.9166666666666665
Dead Poets Society (1989),3.9163346613545817
M*A*S*H (1970),3.912621359223301
Touch of Evil (1958),3.911764705882353
In the Name of the Father (1993),3.911764705882353
Annie Hall (1977),3.911111111111111
When Harry Met Sally... (1989),3.910344827586207
"Clockwork Orange, A (1971)",3.909502262443439
Searching for Bobby Fischer (1993),3.9057971014492754
This Is Spinal Tap (1984),3.905759162303665
Being There (1979),3.9051724137931036
Fly Away Home (1996),3.903225806451613
Big Night (1996),3.9005847953216373
Sophie's Choice (1982),3.896551724137931
Dead Man Walking (1995),3.8963210702341136
"Celluloid Closet, The (1995)",3.892857142857143
Rosencrantz and Guildenstern Are Dead (1990),3.888888888888889
Gaslight (1944),3.8857142857142857
Trainspotting (1996),3.884
Stand by Me (1986),3.881057268722467
Toy Story (1995),3.8783185840707963
Delicatessen (1991),3.876923076923077
Raising Arizona (1987),3.875
"Ruling Class, The (1972)",3.875
Die Hard (1988),3.8724279835390947
Gone with the Wind (1939),3.871345029239766
Once Upon a Time in the West (1969),3.8684210526315788
Unforgiven (1992),3.868131868131868
Foreign Correspondent (1940),3.8666666666666667
"Gay Divorcee, The (1934)",3.8666666666666667
Three Colors: White (1994),3.864406779661017
East of Eden (1955),3.864406779661017
"Hunt for Red October, The (1990)",3.8634361233480177
"Good, The Bad and The Ugly, The (1966)",3.8613138686131387
"Secret of Roan Inish, The (1994)",3.859154929577465
Braindead (1992),3.857142857142857
Anne Frank Remembered (1995),3.857142857142857
Rebel Without a Cause (1955),3.8555555555555556
Amistad (1997),3.8548387096774195
Philadelphia (1993),3.854014598540146
My Left Foot (1989),3.8512396694214877
Seven (Se7en) (1995),3.847457627118644
Walkabout (1971),3.8461538461538463
Bringing Up Baby (1938),3.838235294117647
"Blues Brothers, The (1980)",3.8366533864541834
Forbidden Planet (1956),3.8358208955223883
Back to the Future (1985),3.834285714285714
Night on Earth (1991),3.8333333333333335
"Deer Hunter, The (1978)",3.8333333333333335
"Farewell to Arms, A (1932)",3.8333333333333335
E.T. the Extra-Terrestrial (1982),3.8333333333333335
"Big Lebowski, The (1998)",3.8333333333333335
Richard III (1995),3.831460674157303
Ben-Hur (1959),3.8306451612903225
Swingers (1996),3.828025477707006
"Shining, The (1980)",3.825242718446602
Cold Comfort Farm (1995),3.824
Dead Man (1995),3.823529411764706
Bound (1996),3.8217054263565893
Bonnie and Clyde (1967),3.819672131147541
Cyrano de Bergerac (1990),3.8181818181818183
Shallow Grave (1994),3.8181818181818183
Harold and Maude (1971),3.8181818181818183
Brazil (1985),3.8173076923076925
"Streetcar Named Desire, A (1951)",3.816326530612245
My Fair Lady (1964),3.816
8 1/2 (1963),3.8157894736842106
Star Trek: The Wrath of Khan (1982),3.8155737704918034
Paris Is Burning (1990),3.814814814814815
Aladdin (1992),3.8127853881278537
"Birds, The (1963)",3.808641975308642
"Spitfire Grill, The (1996)",3.804123711340206
Clerks (1994),3.804054054054054
Like Water For Chocolate (Como agua para chocolate) (1992),3.804054054054054
Contact (1997),3.8035363457760316
Donnie Brasco (1997),3.802721088435374
Winnie the Pooh and the Blustery Day (1968),3.8
Twelve Monkeys (1995),3.798469387755102
Sabrina (1954),3.796875
Dances with Wolves (1990),3.79296875
In the Line of Fire (1993),3.7928994082840237
Chasing Amy (1997),3.792156862745098
Beauty and the Beast (1991),3.792079207920792
"Bronx Tale, A (1993)",3.7916666666666665
"City of Lost Children, The (1995)",3.7916666666666665
"Adventures of Robin Hood, The (1938)",3.791044776119403
Crumb (1994),3.7901234567901234
Trust (1990),3.789473684210526
To Live (Huozhe) (1994),3.7857142857142856
"Fish Called Wanda, A (1988)",3.785425101214575
"Lion King, The (1994)",3.7818181818181817
Mr. Holland's Opus (1995),3.7781569965870307
"Blue Angel, The (Blaue Engel, Der) (1930)",3.7777777777777777
Short Cuts (1993),3.7761194029850746
Jaws (1975),3.775
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",3.772727272727273
"Sweet Hereafter, The (1997)",3.772727272727273
Down by Law (1986),3.7714285714285714
"Thin Blue Line, The (1988)",3.7714285714285714
Six Degrees of Separation (1993),3.77027027027027
Fantasia (1940),3.7701149425287355
Dangerous Beauty (1998),3.769230769230769
Manhattan (1979),3.769230769230769
Ninotchka (1939),3.769230769230769
"Madness of King George, The (1994)",3.769230769230769
Face/Off (1997),3.768041237113402
"Sound of Music, The (1965)",3.765765765765766
Fried Green Tomatoes (1991),3.764705882352941
Groundhog Day (1993),3.7642857142857142
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",3.761904761904762
"Cry, the Beloved Country (1995)",3.75
Microcosmos: Le peuple de l'herbe (1996),3.75
Four Days in September (1997),3.75
Monty Python's Life of Brian (1979),3.7471264367816093
Men in Black (1997),3.745874587458746
Giant (1956),3.7450980392156863
Bob Roberts (1992),3.7411764705882353
Living in Oblivion (1995),3.740740740740741
"Haunted World of Edward D. Wood Jr., The (1995)",3.7333333333333334
Breaking the Waves (1996),3.72972972972973
Looking for Richard (1996),3.727272727272727
Diva (1981),3.727272727272727
Breakfast at Tiffany's (1961),3.7263157894736842
Mary Poppins (1964),3.7247191011235956
Welcome to the Dollhouse (1995),3.7232142857142856
Miracle on 34th Street (1994),3.722772277227723
"Inspector General, The (1949)",3.7222222222222223
Bullets Over Broadway (1994),3.7209302325581395
Jurassic Park (1993),3.7203065134099615
Emma (1996),3.7175141242937855
In the Company of Men (1997),3.712121212121212
Jerry Maguire (1996),3.7109375
Snow White and the Seven Dwarfs (1937),3.7093023255813953
Burnt By the Sun (1994),3.7083333333333335
Shall We Dance? (1937),3.7058823529411766
"Professional, The (1994)",3.704697986577181
Ridicule (1996),3.7045454545454546
Bananas (1971),3.7017543859649122
"Tin Drum, The (Blechtrommel, Die) (1979)",3.7
"American in Paris, An (1951)",3.7
Leaving Las Vegas (1995),3.697986577181208
"Rock, The (1996)",3.693121693121693
Platoon (1986),3.6929133858267718
"Pillow Book, The (1995)",3.6923076923076925
Flirting With Disaster (1996),3.6904761904761907
Kundun (1997),3.6904761904761907
Heathers (1989),3.690058479532164
In the Bleak Midwinter (1995),3.6875
Ulee's Gold (1997),3.6865671641791047
"Time to Kill, A (1996)",3.685344827586207
Full Metal Jacket (1987),3.6823529411764704
"Double vie de V?ronique, La (Double Life of Veronique, The) (1991)",3.6818181818181817
"Wings of the Dove, The (1997)",3.68
"Perfect World, A (1993)",3.68
Mediterraneo (1991),3.676470588235294
Little Women (1994),3.676470588235294
Grosse Pointe Blank (1997),3.675
Pinocchio (1940),3.6732673267326734
Heavenly Creatures (1994),3.6714285714285713
My Family (1995),3.6666666666666665
"Women, The (1939)",3.6666666666666665
Rosewood (1997),3.6666666666666665
Alice in Wonderland (1951),3.6666666666666665
Tombstone (1993),3.6666666666666665
SubUrbia (1997),3.6666666666666665
"Daytrippers, The (1996)",3.6666666666666665
Funny Face (1957),3.6666666666666665
Real Genius (1985),3.6638655462184873
Four Weddings and a Funeral (1994),3.6613545816733066
Some Kind of Wonderful (1987),3.6610169491525424
Around the World in 80 Days (1956),3.6610169491525424
Star Trek: First Contact (1996),3.66027397260274
Gigi (1958),3.658536585365854
"Little Princess, A (1995)",3.658536585365854
"English Patient, The (1996)",3.656964656964657
"Apostle, The (1997)",3.6545454545454548
Ghost in the Shell (Kokaku kidotai) (1995),3.6538461538461537
It Could Happen to You (1994),3.652173913043478
Miller's Crossing (1990),3.651685393258427
"Ghost and Mrs. Muir, The (1947)",3.6511627906976742
Dave (1993),3.65
Casino (1995),3.6483516483516483
Speed (1994),3.6478260869565218
Quiz Show (1994),3.645714285714286
Ransom (1996),3.644194756554307
"Ice Storm, The (1997)",3.6436781609195403
Jackie Brown (1997),3.642857142857143
"Candidate, The (1972)",3.641025641025641
Sleeper (1973),3.6341463414634148
My Own Private Idaho (1991),3.6333333333333333
Willy Wonka and the Chocolate Factory (1971),3.6319018404907975
Air Force One (1997),3.6310904872389793
Crimson Tide (1995),3.6298701298701297
Manhattan Murder Mystery (1993),3.6296296296296298
"American President, The (1995)",3.6280487804878048
Selena (1997),3.625
Citizen Ruth (1996),3.6222222222222222
"Crying Game, The (1992)",3.6218487394957983
Smoke (1995),3.6216216216216215
"Mis?rables, Les (1995)",3.619047619047619
Orlando (1993),3.6176470588235294
Love! Valour! Compassion! (1997),3.6153846153846154
"Mark of Zorro, The (1940)",3.6153846153846154
True Romance (1993),3.6153846153846154
Othello (1995),3.611111111111111
Picnic (1955),3.611111111111111
To Be or Not to Be (1942),3.611111111111111
Courage Under Fire (1996),3.6108597285067874
Eve's Bayou (1997),3.609375
Nobody's Fool (1994),3.608695652173913
Bride of Frankenstein (1935),3.608695652173913
Ed Wood (1994),3.601503759398496
"Piano, The (1993)",3.6011904761904763
Primal Fear (1996),3.601123595505618
Mrs. Dalloway (1997),3.6
Murder in the First (1995),3.6
"Rainmaker, The (1997)",3.6
Red Rock West (1992),3.5961538461538463
Gattaca (1997),3.5955882352941178
"People vs. Larry Flynt, The (1996)",3.5953488372093023
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947
William Shakespeare's Romeo and Juliet (1996),3.5943396226415096
"Game, The (1997)",3.593625498007968
Vanya on 42nd Street (1994),3.5925925925925926
Marvin's Room (1996),3.58974358974359
"Abyss, The (1989)",3.589403973509934
"Nightmare Before Christmas, The (1993)",3.5874125874125875
Boogie Nights (1997),3.5873015873015874
Father of the Bride (1950),3.5833333333333335
Cinderella (1950),3.5813953488372094
Widows' Peak (1994),3.5789473684210527
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.576923076923077
Swimming with Sharks (1995),3.574468085106383
"Hour of the Pig, The (1993)",3.5714285714285716
Chungking Express (1994),3.5714285714285716
Clear and Present Danger (1994),3.569832402234637
Better Off Dead... (1985),3.569620253164557
Heat (1995),3.569506726457399
Rob Roy (1995),3.5652173913043477
"Jungle Book, The (1994)",3.5647058823529414
True Lies (1994),3.5625
Phenomenon (1996),3.557377049180328
On Golden Pond (1981),3.556603773584906
Exotica (1994),3.5555555555555554
"Family Thing, A (1996)",3.5555555555555554
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.5555555555555554
"Hudsucker Proxy, The (1994)",3.5545454545454547
"Return of the Pink Panther, The (1974)",3.5543478260869565
Don Juan DeMarco (1995),3.5526315789473686
Get Shorty (1995),3.550239234449761
Muriel's Wedding (1994),3.55
While You Were Sleeping (1995),3.549382716049383
"Last of the Mohicans, The (1992)",3.546875
Unzipped (1995),3.5454545454545454
Stalker (1979),3.5454545454545454
"Sum of Us, The (1994)",3.5454545454545454
"Secret Garden, The (1993)",3.5443037974683542
"Man Without a Face, The (1993)",3.5441176470588234
"Paris, Texas (1984)",3.5434782608695654
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",3.5416666666666665
Sleepless in Seattle (1993),3.539906103286385
"Edge, The (1997)",3.5398230088495577
What's Eating Gilbert Grape (1993),3.5391304347826087
Supercop (1992),3.5384615384615383
Fly Away Home (1996),3.5369127516778525
Highlander (1986),3.5359477124183005
"American Werewolf in London, An (1981)",3.5353535353535355
My Favorite Year (1982),3.532258064516129
Private Parts (1997),3.53
Jeffrey (1995),3.5294117647058822
Cape Fear (1962),3.5232558139534884
Evil Dead II (1987),3.5168539325842696
"Devil's Advocate, The (1997)",3.515957446808511
Hercules (1997),3.515151515151515
Sleepers (1996),3.514792899408284
Sneakers (1992),3.513333333333333
Wag the Dog (1997),3.510948905109489
Carrie (1976),3.5041322314049586
Moll Flanders (1996),3.5
"Queen Margot (Reine Margot, La) (1994)",3.5
Dark City (1998),3.5
"Hate (Haine, La) (1995)",3.5
"Body Snatcher, The (1945)",3.5
"Assignment, The (1997)",3.5
Sabrina (1995),3.5
"20,000 Leagues Under the Sea (1954)",3.5
Dumbo (1941),3.4959349593495936
Koyaanisqatsi (1983),3.490566037735849
What's Love Got to Do with It (1993),3.488888888888889
When a Man Loves a Woman (1994),3.4871794871794872
Circle of Friends (1995),3.486842105263158
"Wedding Singer, The (1998)",3.486111111111111
"Truth About Cats & Dogs, The (1996)",3.485294117647059
Old Yeller (1957),3.484375
"Grifters, The (1990)",3.4831460674157304
Ghosts of Mississippi (1996),3.4827586206896552
Top Gun (1986),3.481818181818182
Nell (1994),3.4814814814814814
"Fifth Element, The (1997)",3.4771573604060912
"Ice Storm, The (1997)",3.4761904761904763
Jane Eyre (1996),3.4761904761904763
"Sex, Lies, and Videotape (1989)",3.4752475247524752
Killing Zoe (1994),3.475
Backbeat (1993),3.473684210526316
"Long Kiss Goodnight, The (1996)",3.4702702702702704
Maverick (1994),3.46875
Dazed and Confused (1993),3.46875
One Night Stand (1997),3.466666666666667
That Thing You Do! (1996),3.465909090909091
Restoration (1995),3.464788732394366
Ghost (1990),3.4647058823529413
Glengarry Glen Ross (1992),3.463768115942029
Friday (1995),3.4615384615384617
Kiss the Girls (1997),3.4615384615384617
"Red Firecracker, Green Firecracker (1994)",3.4615384615384617
Benny & Joon (1993),3.4607843137254903
Immortal Beloved (1994),3.4603174603174605
Menace II Society (1993),3.46
Con Air (1997),3.45985401459854
Clueless (1995),3.458823529411765
Now and Then (1995),3.4583333333333335
Seven Years in Tibet (1997),3.458064516129032
Legends of the Fall (1994),3.45679012345679
"Unbearable Lightness of Being, The (1988)",3.4565217391304346
Michael Collins (1996),3.4565217391304346
Cape Fear (1991),3.456140350877193
Bottle Rocket (1996),3.4545454545454546
Desperado (1995),3.4536082474226806
"Brothers McMullen, The (1995)",3.452054794520548
Ma vie en rose (My Life in Pink) (1997),3.45
Rumble in the Bronx (1995),3.4482758620689653
"Last Supper, The (1995)",3.4482758620689653
Star Trek IV: The Voyage Home (1986),3.4472361809045227
Mallrats (1995),3.4444444444444446
Black Beauty (1994),3.4444444444444446
"Birdcage, The (1996)",3.4436860068259385
Scream (1996),3.4414225941422596
Independence Day (ID4) (1996),3.438228438228438
"Fast, Cheap & Out of Control (1997)",3.4375
Army of Darkness (1993),3.4310344827586206
Death and the Maiden (1994),3.4285714285714284
In Love and War (1996),3.4285714285714284
Batman (1989),3.427860696517413
Tomorrow Never Dies (1997),3.4277777777777776
Somewhere in Time (1980),3.426829268292683
"Basketball Diaries, The (1995)",3.425
Anastasia (1997),3.4242424242424243
Conspiracy Theory (1997),3.4237288135593222
Night of the Living Dead (1968),3.421875
Set It Off (1996),3.4210526315789473
Mighty Aphrodite (1995),3.4184782608695654
"Crow, The (1994)",3.417910447761194
Pump Up the Volume (1990),3.4177215189873418
Angels and Insects (1995),3.4166666666666665
"Man in the Iron Mask, The (1998)",3.4166666666666665
Blue Sky (1994),3.4166666666666665
Twelfth Night (1996),3.413793103448276
Mrs. Doubtfire (1993),3.4114583333333335
Before Sunrise (1995),3.4081632653061225
Carlito's Way (1993),3.4074074074074074
"Thousand Acres, A (1997)",3.4054054054054053
Breakdown (1997),3.4025974025974026
Once Upon a Time in America (1984),3.4
Deconstructing Harry (1997),3.4
White Squall (1996),3.4
Beautiful Girls (1996),3.391304347826087
Happy Gilmore (1996),3.389261744966443
"Omen, The (1976)",3.388235294117647
Red Corner (1997),3.3859649122807016
Devil in a Blue Dress (1995),3.3859649122807016
"Age of Innocence, The (1993)",3.3846153846153846
"Tango Lesson, The (1997)",3.3846153846153846
"Boys of St. Vincent, The (1993)",3.3846153846153846
"Client, The (1994)",3.381443298969072
Akira (1988),3.38
I Shot Andy Warhol (1996),3.3783783783783785
"Hunchback of Notre Dame, The (1996)",3.377952755905512
Cop Land (1997),3.3771428571428572
Bad Taste (1987),3.375
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.375
Night Falls on Manhattan (1997),3.375
Stealing Beauty (1996),3.375
Absolute Power (1997),3.37007874015748
Welcome To Sarajevo (1997),3.3636363636363638
"Mirror Has Two Faces, The (1996)",3.3636363636363638
That Old Feeling (1997),3.3636363636363638
My Best Friend's Wedding (1997),3.36046511627907
G.I. Jane (1997),3.36
U Turn (1997),3.359375
Swiss Family Robinson (1960),3.358974358974359
Freeway (1996),3.357142857142857
Executive Decision (1996),3.356687898089172
Die Hard 2 (1990),3.355421686746988
Meet Me in St. Louis (1944),3.3548387096774195
Pink Floyd - The Wall (1982),3.3508771929824563
Grease (1978),3.347058823529412
"Old Man and the Sea, The (1958)",3.34375
Dolores Claiborne (1994),3.3417721518987342
"Young Poisoner's Handbook, The (1995)",3.341463414634146
Dangerous Minds (1995),3.3404255319148937
How to Make an American Quilt (1995),3.3380281690140845
"Crucible, The (1996)",3.3376623376623376
Victor/Victoria (1982),3.3376623376623376
Star Trek: Generations (1994),3.336206896551724
Desperate Measures (1998),3.3333333333333335
Alphaville (1965),3.3333333333333335
Higher Learning (1995),3.3333333333333335
French Kiss (1995),3.3333333333333335
Radioland Murders (1994),3.3333333333333335
"Sword in the Stone, The (1963)",3.3292682926829267
Unforgettable (1996),3.323529411764706
Pretty Woman (1990),3.323170731707317
I.Q. (1994),3.3209876543209877
Michael (1996),3.319327731092437
Little Buddha (1993),3.3181818181818183
Unstrung Heroes (1995),3.3181818181818183
Kama Sutra: A Tale of Love (1996),3.3181818181818183
Get on the Bus (1996),3.3157894736842106
Mission: Impossible (1996),3.313953488372093
Jumanji (1995),3.3125
Rudy (1993),3.3125
Traveller (1997),3.3076923076923075
"Replacement Killers, The (1998)",3.3076923076923075
In & Out (1997),3.3043478260869565
"Three Musketeers, The (1993)",3.303370786516854
Copycat (1995),3.302325581395349
Desperate Measures (1998),3.2962962962962963
Washington Square (1997),3.2941176470588234
"Great Race, The (1965)",3.2903225806451615
Under Siege (1992),3.2903225806451615
"Walk in the Clouds, A (1995)",3.2857142857142856
Once Upon a Time... When We Were Colored (1995),3.2857142857142856
It's My Party (1995),3.2857142857142856
Die Hard: With a Vengeance (1995),3.2847682119205297
Star Trek VI: The Undiscovered Country (1991),3.279503105590062
"Firm, The (1993)",3.2781456953642385
To Die For (1995),3.2758620689655173
Everyone Says I Love You (1996),3.2738095238095237
"Three Caballeros, The (1945)",3.272727272727273
Strawberry and Chocolate (Fresa y chocolate) (1993),3.272727272727273
"Peacemaker, The (1997)",3.2720588235294117
"War, The (1994)",3.2666666666666666
Strange Days (1995),3.264367816091954
Heavy Metal (1981),3.26027397260274
Career Girls (1997),3.2564102564102564
Mad City (1997),3.25531914893617
Up in Smoke (1978),3.25531914893617
Jackie Chan's First Strike (1996),3.2551724137931033
Basquiat (1996),3.25
Indian Summer (1996),3.25
Austin Powers: International Man of Mystery (1997),3.246153846153846
"Associate, The (1996)",3.2439024390243905
Escape from New York (1981),3.241758241758242
Outbreak (1995),3.2403846153846154
Fearless (1993),3.24
Trees Lounge (1996),3.24
Naked (1993),3.24
"Big Blue, The (Grand bleu, Le) (1988)",3.235294117647059
"Frighteners, The (1996)",3.234782608695652
Bed of Roses (1996),3.2333333333333334
Starship Troopers (1997),3.2322274881516586
One Fine Day (1996),3.232142857142857
Withnail and I (1987),3.230769230769231
Switchblade Sisters (1975),3.230769230769231
Carrington (1995),3.230769230769231
Roommates (1995),3.230769230769231
Telling Lies in America (1997),3.230769230769231
Basic Instinct (1992),3.227722772277228
Robin Hood: Prince of Thieves (1991),3.2266666666666666
2 Days in the Valley (1996),3.225806451612903
"Paper, The (1994)",3.225
"Postman, The (1997)",3.2241379310344827
Great Expectations (1998),3.2222222222222223
M. Butterfly (1993),3.2222222222222223
Kalifornia (1993),3.2203389830508473
Scream 2 (1997),3.2169811320754715
Twister (1996),3.2150170648464163
Homeward Bound: The Incredible Journey (1993),3.2131147540983607
Matilda (1996),3.210526315789474
Gridlock'd (1997),3.210526315789474
Powder (1995),3.2083333333333335
"Quick and the Dead, The (1995)",3.2083333333333335
Young Guns (1988),3.207920792079208
GoldenEye (1995),3.2061068702290076
French Twist (Gazon maudit) (1995),3.2051282051282053
Bulletproof (1996),3.204081632653061
"Ghost and the Darkness, The (1996)",3.203125
"Trigger Effect, The (1996)",3.2
Go Fish (1994),3.2
"Mask, The (1994)",3.193798449612403
Forget Paris (1995),3.193548387096774
Oscar & Lucinda (1997),3.1904761904761907
Up Close and Personal (1996),3.1882352941176473
Tie Me Up! Tie Me Down! (1990),3.1875
Interview with the Vampire (1994),3.1824817518248176
Mother Night (1996),3.1818181818181817
My Crazy Life (Mi vida loca) (1993),3.1818181818181817
Passion Fish (1992),3.1785714285714284
Blue in the Face (1995),3.1777777777777776
"MatchMaker, The (1997)",3.176470588235294
Malice (1993),3.1739130434782608
Extreme Measures (1996),3.171875
"Nightmare on Elm Street, A (1984)",3.171171171171171
Soul Food (1997),3.169491525423729
Little Lord Fauntleroy (1936),3.1666666666666665
Amateur (1994),3.1666666666666665
Smilla's Sense of Snow (1997),3.1666666666666665
Love & Human Remains (1993),3.1666666666666665
Stalingrad (1993),3.1666666666666665
"Star Maker, The (Uomo delle stelle, L') (1995)",3.1666666666666665
Tom and Huck (1995),3.1666666666666665
Bread and Chocolate (Pane e cioccolata) (1973),3.1666666666666665
Lost in Space (1998),3.1666666666666665
Addicted to Love (1997),3.1666666666666665
"Bridges of Madison County, The (1995)",3.1641791044776117
My Fellow Americans (1996),3.1627906976744184
